"Time","台積電"
"2016-04-01",6
"2016-05-01",7
"2016-06-01",6
"2016-07-01",6
"2016-08-01",6
"2016-09-01",6
"2016-10-01",8
"2016-11-01",7
"2016-12-01",7
"2017-01-01",6
"2017-02-01",7
"2017-03-01",8
"2017-04-01",7
"2017-05-01",7
"2017-06-01",10
"2017-07-01",8
"2017-08-01",8
"2017-09-01",8
"2017-10-01",11
"2017-11-01",10
"2017-12-01",8
"2018-01-01",11
"2018-02-01",9
"2018-03-01",11
"2018-04-01",12
"2018-05-01",10
"2018-06-01",11
"2018-07-01",10
"2018-08-01",14
"2018-09-01",12
"2018-10-01",15
"2018-11-01",13
"2018-12-01",11
"2019-01-01",13
"2019-02-01",10
"2019-03-01",12
"2019-04-01",12
"2019-05-01",15
"2019-06-01",14
"2019-07-01",16
"2019-08-01",15
"2019-09-01",15
"2019-10-01",20
"2019-11-01",21
"2019-12-01",24
"2020-01-01",21
"2020-02-01",23
"2020-03-01",50
"2020-04-01",35
"2020-05-01",34
"2020-06-01",32
"2020-07-01",58
"2020-08-01",51
"2020-09-01",47
"2020-10-01",42
"2020-11-01",53
"2020-12-01",56
"2021-01-01",100
"2021-02-01",78
"2021-03-01",96
"2021-04-01",71
"2021-05-01",72
"2021-06-01",53
"2021-07-01",53
"2021-08-01",48
"2021-09-01",53
"2021-10-01",47
"2021-11-01",46
"2021-12-01",43
"2022-01-01",52
"2022-02-01",46
"2022-03-01",73
"2022-04-01",57
"2022-05-01",54
"2022-06-01",60
"2022-07-01",67
"2022-08-01",52
"2022-09-01",54
"2022-10-01",77
"2022-11-01",79
"2022-12-01",55
"2023-01-01",42
"2023-02-01",52
"2023-03-01",42
"2023-04-01",36
"2023-05-01",39
"2023-06-01",38
"2023-07-01",36
"2023-08-01",32
"2023-09-01",31
"2023-10-01",32
"2023-11-01",34
"2023-12-01",31
"2024-01-01",40
"2024-02-01",39
"2024-03-01",53
"2024-04-01",51
"2024-05-01",44
"2024-06-01",57
"2024-07-01",75
"2024-08-01",68
"2024-09-01",51
"2024-10-01",56
"2024-11-01",52
"2024-12-01",51
"2025-01-01",50
"2025-02-01",54
"2025-03-01",73
"2025-04-01",88
"2025-05-01",50
"2025-06-01",44
"2025-07-01",48
"2025-08-01",56
"2025-09-01",49
"2025-10-01",59
"2025-11-01",51
"2025-12-01",46
"2026-01-01",74
"2026-02-01",60
"2026-03-01",80
"2026-04-01",87
"2026-05-01",85
